"query","calls","avg_time_ms","max_time_ms","total_time_secs"
"SELECT id, user_id, name, category, note, rating, lat, lng, address,
	place_id, journey_id, xp_awarded, created_at, updated_at FROM checkpoints
		 WHERE deleted_at IS NULL
		   AND location && ST_MakeEnvelope($1, $2, $3, $4, $6)::geography
		 ORDER BY created_at DESC LIMIT $5",2538,0.35,22.23,0.90
"INSERT INTO ""sessions"" (""aal"", ""created_at"", ""factor_id"", ""id"", ""ip"", ""not_after"", ""oauth_client_id"", ""refresh_token_counter"", ""refresh_token_hmac_key"", ""refreshed_at"", ""scopes"", ""tag"", ""updated_at"", ""user_agent"", ""user_id"") VALUES ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15)",235,1.67,20.13,0.39
"select
  t.oid::int8 as id,
  t.typname as name,
  n.nspname as schema,
  format_type (t.oid, $1) as format,
  coalesce(t_enums.enums, $2) as enums,
  coalesce(t_attributes.attributes, $3) as attributes,
  obj_description (t.oid, $4) as comment,
  nullif(t.typrelid::int8, $5) as type_relation_id
from
  pg_type t
  left join pg_namespace n on n.oid = t.typnamespace
  left join (
    select
      enumtypid,
      jsonb_agg(enumlabel order by enumsortorder) as enums
    from
      pg_enum
    group by
      enumtypid
  ) as t_enums on t_enums.enumtypid = t.oid
  left join (
    select
      oid,
      jsonb_agg(
        jsonb_build_object($6, a.attname, $7, a.atttypid::int8)
        order by a.attnum asc
      ) as attributes
    from
      pg_class c
      join pg_attribute a on a.attrelid = c.oid
    where
      c.relkind = $8 and not a.attisdropped
    group by
      c.oid
  ) as t_attributes on t_attributes.oid = t.typrelid
  where
      (
        t.typrelid = $9
        or (
          select
            c.relkind = $10
          from
            pg_class c
          where
            c.oid = t.typrelid
        )
      )
      and not exists (
                 select
                 from
                   pg_type el
                 where
                   el.oid = t.typelem
                   and el.typarray = t.oid
               )
      and n.nspname NOT IN ($11,$12,$13)",11,6.73,19.64,0.07
"INSERT INTO checkpoints (user_id, name, category, note, rating, lat, lng, address, province, place_id, journey_id, xp_awarded)
		 VALUES ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12)
		 RETURNING id, user_id, name, category, note, rating, lat, lng, address,
	place_id, journey_id, xp_awarded, view_count, created_at, updated_at",9,9.61,19.42,0.09
"INSERT INTO ""refresh_tokens"" (""created_at"", ""instance_id"", ""parent"", ""revoked"", ""session_id"", ""token"", ""updated_at"", ""user_id"") VALUES ($1, $2, $3, $4, $5, $6, $7, $8) returning id",383,1.64,19.39,0.63
"-- Adapted from information_schema.schemata

select
  n.oid as id,
  n.nspname as name,
  u.rolname as owner,
   obj_description(n.oid, $1) AS comment
from
  pg_namespace n,
  pg_roles u
where
  n.nspowner = u.oid
  and (
    pg_has_role(n.nspowner, $2)
    or has_schema_privilege(n.oid, $3)
  )
  and not pg_catalog.starts_with(n.nspname, $4)
  and not pg_catalog.starts_with(n.nspname, $5)
 and not (n.nspname in ($6,$7,$8))

-- source: dashboard
-- user: session:9222bd37-813b-4a23-b8c6-f3cba3baa888
-- date: 2026-06-10T02:59:41.695Z",60,3.77,18.36,0.23
"SELECT id, supabase_id, email, username, display_name, avatar_url, bio,
	role, is_anonymous, total_xp, level, checkpoint_count, journey_count, created_at, updated_at FROM users WHERE id = $1 AND deleted_at IS NULL",1213,0.17,17.22,0.20
"UPDATE ""users"" AS users SET ""last_sign_in_at"" = $1, ""updated_at"" = $2 WHERE users.id = $3",383,0.62,16.70,0.24
"INSERT INTO checkpoint_reactions (checkpoint_id, user_id, reaction)
		 VALUES ($1, $2, $3)
		 ON CONFLICT (checkpoint_id, user_id)
		 DO UPDATE SET reaction = EXCLUDED.reaction, updated_at = NOW()",42,1.63,16.48,0.07
"SELECT
		   u.checkpoint_count,
		   u.journey_count,
		   (SELECT COUNT(DISTINCT province) FROM checkpoints c
		     WHERE c.user_id = u.id AND c.deleted_at IS NULL AND c.province IS NOT NULL),
		   EXTRACT($2 FROM (NOW() AT TIME ZONE $3))::int
		 FROM users u WHERE u.id = $1",164,2.86,16.39,0.47
"SELECT id, user_id, title, description, is_active, started_at, ended_at, created_at, updated_at FROM journeys
		 WHERE user_id = $1 AND deleted_at IS NULL ORDER BY created_at DESC",759,0.24,14.03,0.18
"INSERT INTO ""flow_state"" (""auth_code"", ""auth_code_issued_at"", ""authentication_method"", ""code_challenge"", ""code_challenge_method"", ""created_at"", ""email_optional"", ""id"", ""invite_token"", ""linking_target_id"", ""oauth_client_state_id"", ""provider_access_token"", ""provider_refresh_token"", ""provider_type"", ""referrer"", ""updated_at"", ""user_id"") VALUES ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15, $16, $17)",29,4.36,13.79,0.13
"UPDATE ""refresh_tokens"" AS refresh_tokens SET ""revoked"" = $1, ""updated_at"" = $2 WHERE refresh_tokens.id = $3",148,2.86,12.19,0.42
"select t.oid,
	case when nsp.nspname in ($1, $2) then t.typname
		else nsp.nspname||$3||t.typname
	end
from pg_type t
left join pg_type base_type on t.typelem=base_type.oid
left join pg_class base_cls ON base_type.typrelid = base_cls.oid
left join pg_namespace nsp on t.typnamespace=nsp.oid
where (
	  t.typtype in($4, $5, $6, $7)
	  and (base_type.oid is null or base_type.typtype in($8, $9, $10))
	)",17,3.52,11.48,0.06
select * from pg_catalog.pg_settings where name=$1,19,4.43,10.48,0.08
"SELECT id, user_id, name, category, note, rating, lat, lng, address,
	place_id, journey_id, xp_awarded, created_at, updated_at, image_key, thumbnail_key FROM checkpoints
		 WHERE deleted_at IS NULL
		   AND location && ST_MakeEnvelope($1, $2, $3, $4, $6)::geography
		 ORDER BY created_at DESC LIMIT $5",97,0.61,9.21,0.06
"SELECT id, supabase_id, email, username, display_name, avatar_key, bio,
	role, is_anonymous, total_xp, level, checkpoint_count, journey_count, created_at, updated_at FROM users WHERE username = $1 AND deleted_at IS NULL",23,1.72,9.20,0.04
"SELECT g.province, g.checkin_count, g.first_at, g.last_at,
		        (SELECT ci.object_key
		           FROM checkpoints c2
		           JOIN checkpoint_images ci ON ci.checkpoint_id = c2.id
		          WHERE c2.user_id = $1 AND c2.deleted_at IS NULL AND c2.province = g.province
		          ORDER BY c2.created_at DESC, ci.sort_order LIMIT $2) AS cover_key
		   FROM (
		     SELECT province, COUNT(*) AS checkin_count,
		            MIN(created_at) AS first_at, MAX(created_at) AS last_at
		       FROM checkpoints
		      WHERE user_id = $1 AND deleted_at IS NULL AND province IS NOT NULL
		      GROUP BY province
		   ) g
		  ORDER BY g.last_at DESC",117,0.61,9.16,0.07
"SELECT id, user_id, name, category, note, rating, lat, lng, address,
	place_id, journey_id, xp_awarded, created_at, updated_at,
		        (SELECT object_key FROM checkpoint_images ci
		         WHERE ci.checkpoint_id = c.id ORDER BY ci.sort_order, ci.created_at LIMIT $3),
		        (SELECT COALESCE(thumbnail_key, object_key) FROM checkpoint_images ci
		         WHERE ci.checkpoint_id = c.id ORDER BY ci.sort_order, ci.created_at LIMIT $4)
		 FROM checkpoints c
		 WHERE c.user_id = $1 AND c.deleted_at IS NULL
		 ORDER BY c.created_at DESC LIMIT $2",106,0.65,8.56,0.07
"SELECT users.aud, users.banned_until, users.confirmation_sent_at, users.confirmation_token, users.confirmed_at, users.created_at, users.deleted_at, users.email, users.email_change, users.email_change_confirm_status, users.email_change_sent_at, users.email_change_token_current, users.email_change_token_new, users.email_confirmed_at, users.encrypted_password, users.id, users.instance_id, users.invited_at, users.is_anonymous, users.is_sso_user, users.last_sign_in_at, users.phone, users.phone_change, users.phone_change_sent_at, users.phone_change_token, users.phone_confirmed_at, users.raw_app_meta_data, users.raw_user_meta_data, users.reauthentication_sent_at, users.reauthentication_token, users.recovery_sent_at, users.recovery_token, users.role, users.updated_at FROM users AS users WHERE instance_id = $1 and LOWER(email) = $2 and aud = $3 and is_sso_user = $4 LIMIT $5",48,0.74,8.49,0.04
"SELECT sessions.aal, sessions.created_at, sessions.factor_id, sessions.id, sessions.ip, sessions.not_after, sessions.oauth_client_id, sessions.refresh_token_counter, sessions.refresh_token_hmac_key, sessions.refreshed_at, sessions.scopes, sessions.tag, sessions.updated_at, sessions.user_agent, sessions.user_id FROM sessions AS sessions WHERE id = $1 LIMIT $2",744,0.41,8.41,0.30
"SELECT g.province, g.checkin_count, g.first_at, g.last_at,
		        (SELECT COALESCE(ci.thumbnail_key, ci.object_key)
		           FROM checkpoints c2
		           JOIN checkpoint_images ci ON ci.checkpoint_id = c2.id
		          WHERE c2.user_id = $1 AND c2.deleted_at IS NULL AND c2.province = g.province
		          ORDER BY c2.created_at DESC, ci.sort_order LIMIT $2) AS cover_key
		   FROM (
		     SELECT province, COUNT(*) AS checkin_count,
		            MIN(created_at) AS first_at, MAX(created_at) AS last_at
		       FROM checkpoints
		      WHERE user_id = $1 AND deleted_at IS NULL AND province IS NOT NULL
		      GROUP BY province
		   ) g
		  ORDER BY g.last_at DESC",99,1.27,8.25,0.13
"with
role_setting as (
  select r.rolname, unnest(r.rolconfig) as setting
  from pg_auth_members m
  join pg_roles r on r.oid = m.roleid
  where member = current_user::regrole::oid
),
kv_settings AS (
  SELECT
    rolname,
    substr(setting, $1, strpos(setting, $2) - $3) as key,
    lower(substr(setting, strpos(setting, $4) + $5)) as value
  FROM role_setting
),
iso_setting AS (
  SELECT rolname, value
  FROM kv_settings
  WHERE key = $6
)
select
  kv.rolname,
  i.value as iso_lvl,
  coalesce(array_agg(row(kv.key, kv.value)) filter (where key <> $7), $8) as role_settings
from kv_settings kv
join pg_settings ps on ps.name = kv.key and (ps.context = $9 or has_parameter_privilege(current_user::regrole::oid, ps.name, $10))
left join iso_setting i on i.rolname = kv.rolname
group by kv.rolname, i.value",24,3.17,7.41,0.08
"SELECT id, user_id, name, category, note, rating, lat, lng, address,
	place_id, journey_id, xp_awarded, view_count, created_at, updated_at, image_key, thumbnail_key FROM checkpoints
		 WHERE deleted_at IS NULL
		   AND location && ST_MakeEnvelope($1, $2, $3, $4, $6)::geography
		 ORDER BY created_at DESC LIMIT $5",294,0.58,7.12,0.17
"SELECT id, user_id, name, category, note, rating, lat, lng, address,
	xp_awarded, created_at, updated_at FROM checkpoints
		 WHERE deleted_at IS NULL
		   AND location && ST_MakeEnvelope($1, $2, $3, $4, $6)::geography
		 ORDER BY created_at DESC LIMIT $5",473,0.26,6.59,0.12
"INSERT INTO mfa_amr_claims(id, session_id, created_at, updated_at, authentication_method) values ($1, $2, $3, $4, $5)
			ON CONFLICT ON CONSTRAINT mfa_amr_claims_session_id_authentication_method_pkey
			DO UPDATE SET updated_at = $6",235,0.49,6.44,0.12
"UPDATE users SET checkpoint_count = checkpoint_count + $2, updated_at = NOW()
		 WHERE id = $1",164,0.11,6.14,0.02
"UPDATE places SET checkin_count = checkin_count + $2, updated_at = NOW() WHERE id = $1",170,0.48,5.82,0.08
"INSERT INTO ""identities"" (""created_at"", ""id"", ""identity_data"", ""last_sign_in_at"", ""provider"", ""provider_id"", ""updated_at"", ""user_id"") VALUES ($1, $2, $3, $4, $5, $6, $7, $8)",12,2.03,5.67,0.02
"UPDATE users SET
		   display_name = COALESCE($2, display_name),
		   bio          = COALESCE($3, bio),
		   updated_at   = NOW()
		 WHERE id = $1 AND deleted_at IS NULL
		 RETURNING id, supabase_id, email, username, display_name, avatar_key, bio,
	role, is_anonymous, total_xp, level, checkpoint_count, journey_count, created_at, updated_at",8,1.00,5.31,0.01
